id,alliance,category,text,source
ldf-health-1,LDF,Healthcare,Universal health coverage through expanded public hospitals,LDF Manifesto 2026
ldf-health-2,LDF,Healthcare,Free treatment for all in government hospitals including medicines,LDF Manifesto 2026
ldf-inf-1,LDF,Infrastructure,Expansion of KIIFB infrastructure projects statewide,LDF Manifesto 2026
ldf-jobs-1,LDF,Jobs,1 lakh government jobs for youth in 5 years,LDF Manifesto 2026
ldf-agri-1,LDF,Agriculture,Increased MSP and loan waiver for farmers,LDF Manifesto 2026
ldf-env-1,LDF,Environment,Stricter protection for Western Ghats and wetlands,LDF Manifesto 2026
ldf-welfare-1,LDF,Welfare,Expansion of Kudumbashree programme,LDF Manifesto 2026
ldf-women-1,LDF,Women,Free bus travel for women continued and expanded,LDF Manifesto 2026
ldf-welfare-2,LDF,Welfare,Strengthening of public distribution system,LDF Manifesto 2026
ldf-tech-1,LDF,Technology,IT corridor expansion in Thiruvananthapuram and Kochi,LDF Manifesto 2026
ldf-env-2,LDF,Environment,Legislation against illegal land grabbing,LDF Manifesto 2026
ldf-acc-1,LDF,Accountability,Anti-corruption ombudsman with real powers,LDF Manifesto 2026
udf-agri-1,UDF,Agriculture,Reversal of controversial land reform amendments,UDF Manifesto 2026
udf-acc-1,UDF,Accountability,Transparency audit of KIIFB borrowings,UDF Manifesto 2026
udf-jobs-1,UDF,Jobs,Private investment-led job creation policy,UDF Manifesto 2026
udf-edu-1,UDF,Education,Enhanced college infrastructure and university autonomy,UDF Manifesto 2026
udf-women-1,UDF,Women,Women's safety task force in every district,UDF Manifesto 2026
udf-harmony-1,UDF,Communal Harmony,Protection of minority community rights and institutions,UDF Manifesto 2026
udf-welfare-1,UDF,Welfare,Pension increase for unorganised sector workers,UDF Manifesto 2026
udf-inf-1,UDF,Infrastructure,Urban development fund for tier-2 cities,UDF Manifesto 2026
udf-acc-2,UDF,Accountability,Stricter enforcement of anti-corruption laws,UDF Manifesto 2026
udf-house-1,UDF,Housing,Affordable housing scheme for middle-income families,UDF Manifesto 2026
udf-tech-1,UDF,Technology,Digital literacy programme for rural youth,UDF Manifesto 2026
udf-agri-2,UDF,Agriculture,Agricultural insurance scheme expansion,UDF Manifesto 2026
bjp-house-1,BJP,Housing,PM Awas Yojana expansion in Kerala,BJP Manifesto 2026
bjp-inf-1,BJP,Infrastructure,Central funds leverage for Kerala infrastructure,BJP Manifesto 2026
bjp-social-1,BJP,Social,Uniform Civil Code implementation advocacy,BJP Manifesto 2026
bjp-jobs-1,BJP,Jobs,Promotion of entrepreneurship and startup ecosystem,BJP Manifesto 2026
bjp-edu-1,BJP,Education,National-level scholarship programme for students,BJP Manifesto 2026
bjp-env-1,BJP,Environment,River rejuvenation and clean water mission,BJP Manifesto 2026
bjp-inf-2,BJP,Infrastructure,Temple corridor and cultural heritage development,BJP Manifesto 2026
bjp-health-1,BJP,Healthcare,Central government health scheme expansion,BJP Manifesto 2026
bjp-women-1,BJP,Women,Anti-drug campaign with enforcement powers,BJP Manifesto 2026
bjp-jobs-2,BJP,Jobs,Job reservation for local youth in industries,BJP Manifesto 2026
